t, xpos, ypos
0.898000,1.952049,-0.248598
0.899000,1.952946,-0.246228
0.900000,1.953836,-0.243852
0.901000,1.954717,-0.241471
0.902000,1.955591,-0.239083
0.903000,1.956457,-0.236690
0.904000,1.957316,-0.234292
0.905000,1.958166,-0.231889
0.906000,1.959009,-0.229480
0.907000,1.959844,-0.227066
0.908000,1.960671,-0.224648
0.909000,1.961490,-0.222224
0.910000,1.962301,-0.219796
0.911000,1.963104,-0.217364
0.912000,1.963899,-0.214927
0.913000,1.964686,-0.212485
0.914000,1.965465,-0.210040
0.915000,1.966236,-0.207590
0.916000,1.966999,-0.205137
0.917000,1.967754,-0.202680
0.918000,1.968501,-0.200219
0.919000,1.969240,-0.197754
0.920000,1.969970,-0.195287
0.921000,1.970692,-0.192815
0.922000,1.971407,-0.190341
0.923000,1.972113,-0.187864
0.924000,1.972810,-0.185384
0.925000,1.973500,-0.182901
0.926000,1.974181,-0.180416
0.927000,1.974854,-0.177928
0.928000,1.975518,-0.175438
0.929000,1.976174,-0.172946
0.930000,1.976822,-0.170451
0.931000,1.977461,-0.167955
0.932000,1.978092,-0.165457
0.933000,1.978715,-0.162957
0.934000,1.979329,-0.160456
0.935000,1.979934,-0.157954
0.936000,1.980531,-0.155450
0.937000,1.981120,-0.152946
0.938000,1.981700,-0.150440
0.939000,1.982271,-0.147934
0.940000,1.982834,-0.145427
0.941000,1.983388,-0.142920
0.942000,1.983933,-0.140412
0.943000,1.984470,-0.137905
0.944000,1.984998,-0.135397
0.945000,1.985518,-0.132889
0.946000,1.986028,-0.130382
0.947000,1.986530,-0.127875
0.948000,1.987023,-0.125369
0.949000,1.987508,-0.122864
0.950000,1.987983,-0.120359
0.951000,1.988450,-0.117856
0.952000,1.988908,-0.115354
0.953000,1.989357,-0.112853
0.954000,1.989797,-0.110354
0.955000,1.990228,-0.107856
0.956000,1.990650,-0.105360
0.957000,1.991063,-0.102867
0.958000,1.991467,-0.100375
0.959000,1.991862,-0.097886
0.960000,1.992248,-0.095400
0.961000,1.992625,-0.092916
0.962000,1.992993,-0.090435
0.963000,1.993351,-0.087957
0.964000,1.993701,-0.085482
0.965000,1.994041,-0.083011
0.966000,1.994372,-0.080543
0.967000,1.994694,-0.078079
0.968000,1.995007,-0.075618
0.969000,1.995310,-0.073162
0.970000,1.995605,-0.070710
0.971000,1.995890,-0.068263
0.972000,1.996165,-0.065819
0.973000,1.996431,-0.063381
0.974000,1.996688,-0.060948
0.975000,1.996936,-0.058519
0.976000,1.997174,-0.056096
0.977000,1.997402,-0.053679
0.978000,1.997621,-0.051266
0.979000,1.997831,-0.048860
0.980000,1.998031,-0.046460
0.981000,1.998222,-0.044066
0.982000,1.998403,-0.041678
0.983000,1.998574,-0.039297
0.984000,1.998736,-0.036923
0.985000,1.998888,-0.034555
0.986000,1.999031,-0.032195
0.987000,1.999164,-0.029842
0.988000,1.999287,-0.027496
0.989000,1.999400,-0.025158
0.990000,1.999504,-0.022828
0.991000,1.999598,-0.020505
0.992000,1.999682,-0.018192
0.993000,1.999756,-0.015886
0.994000,1.999821,-0.013589
0.995000,1.999875,-0.011301
0.996000,1.999920,-0.009022
0.997000,1.999955,-0.006752
0.998000,1.999980,-0.004492
0.999000,1.999995,-0.002241
